"Status Code","Response Reference","Category","Usage Count","Endpoints Used"
"undefined","Inline response","analytics, auth, common, dataTransfer, goals, healthSystem, mobile, notifications, nutritionMacros, profiles, progress, workoutLogs, workouts","124","undefined undefined"
"200","../../components/responses/analytics/AdherenceMetricsRetrieved.yaml","analytics","1","GET analytics_adherence"
"200","../../components/responses/analytics/ComprehensiveAIAnalyticsRetrieved.yaml","analytics","1","GET analytics_ai_comprehensive"
"200","../../components/responses/analytics/AIInsightsRetrieved.yaml","analytics","1","GET analytics_ai_insights"
"200","../../components/responses/analytics/PatternAnalysisRetrieved.yaml","analytics","1","GET analytics_ai_patterns"
"200","../../components/responses/analytics/GoalPredictionsRetrieved.yaml","analytics","1","GET analytics_ai_predictions_goalType"
"200","../../components/responses/analytics/PersonalizedRecommendationsRetrieved.yaml","analytics","1","GET analytics_ai_recommendations"
"200","../../components/responses/analytics/AnalyticsByDateRangeRetrieved.yaml","analytics","1","GET analytics_daterange"
"200","../../components/responses/analytics/AnalyticsHealthy.yaml","analytics","1","GET analytics_health"
"200","../../components/responses/analytics/AnalyticsOverviewRetrieved.yaml","analytics","1","GET analytics_overview"
"200","../../components/responses/analytics/StrengthProgressionRetrieved.yaml","analytics","1","GET analytics_strength"
"200","../../components/responses/analytics/ProgressTrendsRetrieved.yaml","analytics","1","GET analytics_trends"
"200","../../components/responses/auth/EmailVerificationStatus.yaml","auth","1","GET email-verification-status"
"200","../../components/responses/auth/LoginSuccess.yaml","auth","1","POST login"
"200","../../components/responses/common/GenericSuccess.yaml","auth","5","POST logout; POST password-reset; POST resend-verification; POST reset-password; POST update-password"
"200","../../components/responses/profiles/UserProfileRetrieved.yaml","auth","1","GET me"
"200","../../components/responses/auth/TokenRefreshSuccess.yaml","auth","1","POST refresh"
"200","../../components/responses/auth/SessionValidated.yaml","auth","1","GET validate-session"
"200","../../components/responses/auth/EmailVerified.yaml","auth","1","POST verify-email"
"200","../../components/responses/dataTransfer/DataExportCompleted.yaml","dataTransfer","1","POST data-transfer_export"
"200","../../components/responses/dataTransfer/DataImportCompleted.yaml","dataTransfer","1","POST data-transfer_import"
"200","../../components/responses/goals/GoalsRetrieved.yaml","goals","1","GET goals"
"200","../../components/responses/goals/GoalRetrieved.yaml","goals","1","GET goals_goalId"
"200","../../components/responses/goals/GoalUpdated.yaml","goals","1","PUT goals_goalId"
"200","../../components/responses/goals/GoalPredictionRetrieved.yaml","goals","1","POST goals_goalId_predict"
"200","../../components/responses/goals/GoalProgressRetrieved.yaml","goals","1","GET goals_goalId_progress"
"200","../../components/responses/healthSystem/SystemHealthOK.yaml","healthSystem","1","GET health"
"200","../../components/responses/healthSystem/BasicHealthOK.yaml","healthSystem","1","GET v1_health"
"200","../../components/responses/healthSystem/SupabaseHealthOK.yaml","healthSystem","1","GET v1_health_supabase"
"200","../../components/responses/mobile/MobileOptimizedAnalyticsRetrieved.yaml","mobile","1","GET mobile_analytics"
"200","../../components/responses/mobile/MobileGoalProgressRetrieved.yaml","mobile","1","GET mobile_goals_goalId_progress"
"200","../../components/responses/mobile/MobileNotificationPreferencesRetrieved.yaml","mobile","1","GET mobile_notifications_preferences"
"200","../../components/responses/mobile/MobileOverviewRetrieved.yaml","mobile","1","GET mobile_overview"
"200","../../components/responses/mobile/MobilePeerComparisonRetrieved.yaml","mobile","1","GET mobile_peer-comparison"
"200","../../components/responses/mobile/MobileDataSynced.yaml","mobile","1","POST mobile_sync"
"200","../../components/responses/notifications/NotificationPreferencesRetrieved.yaml","notifications","1","GET notifications_preferences"
"200","../../components/responses/notifications/NotificationPreferencesUpdated.yaml","notifications","1","POST notifications_preferences"
"200","../../components/responses/notifications/TestNotificationSent.yaml","notifications","1","POST notifications_test"
"200","../../components/responses/nutritionMacros/MacroPlansListed.yaml","nutritionMacros","1","GET macros"
"200","../../components/responses/nutritionMacros/MacroCalculationCompleted.yaml","nutritionMacros","1","POST macros_calculate"
"200","Inline response","nutritionMacros","1","GET macros_latest"
"200","../../components/responses/nutritionMacros/MacroPlanUpdated.yaml","nutritionMacros","1","PUT macros_planId"
"200","../../components/responses/nutritionMacros/NutritionPlanRetrieved.yaml","nutritionMacros","2","GET nutrition; GET nutrition_userId"
"200","../../components/responses/nutritionMacros/NutritionPlanGenerated.yaml","nutritionMacros","1","POST nutrition_calculate"
"200","../../components/responses/nutritionMacros/MealLogsListed.yaml","nutritionMacros","1","GET nutrition_meal-log"
"200","../../components/responses/nutritionMacros/DietaryPreferencesRetrieved.yaml","nutritionMacros","1","GET nutrition_preferences"
"200","../../components/responses/nutritionMacros/DietaryPreferencesUpdated.yaml","nutritionMacros","1","POST nutrition_preferences"
"200","../../components/responses/profiles/ProfilePreferencesRetrieved.yaml","profiles","1","GET preferences"
"200","../../components/responses/profiles/ProfilePreferencesUpdated.yaml","profiles","1","PUT preferences"
"200","../../components/responses/profiles/ProfileRetrieved.yaml","profiles","1","GET profile"
"200","../../components/responses/profiles/ProfileCreated.yaml","profiles","1","POST profile"
"200","../../components/responses/profiles/ProfileUpdated.yaml","profiles","1","PUT profile"
"200","../../components/responses/progress/CheckInRetrieved.yaml","progress","1","GET progress_check-ins_checkInId"
"200","../../components/responses/progress/MetricsCalculated.yaml","progress","1","POST progress_metrics"
"200","../../components/responses/workoutLogs/WorkoutLogsListed.yaml","workoutLogs","1","GET workouts_log"
"200","../../components/responses/workoutLogs/WorkoutLogRetrieved.yaml","workoutLogs","1","GET workouts_log_logId"
