"Schema Reference","Schema File","Category","Usage Count","Used In Context","Endpoints Used"
"../../components/schemas/analytics/AnalyticsRefreshRequest.yaml","AnalyticsRefreshRequest.yaml","analytics","1","requestBody","POST analytics_refresh"
"../../components/schemas/auth/LoginRequest.yaml","LoginRequest.yaml","auth","1","requestBody","POST login"
"../../components/schemas/auth/PasswordResetRequest.yaml","PasswordResetRequest.yaml","auth","1","requestBody","POST password-reset"
"../../components/schemas/auth/RefreshTokenRequest.yaml","RefreshTokenRequest.yaml","auth","1","requestBody","POST refresh"
"../../components/schemas/auth/ResendVerificationRequest.yaml","ResendVerificationRequest.yaml","auth","1","requestBody","POST resend-verification"
"../../components/schemas/auth/ResetPasswordRequest.yaml","ResetPasswordRequest.yaml","auth","1","requestBody","POST reset-password"
"../../components/schemas/auth/SignupRequest.yaml","SignupRequest.yaml","auth","1","requestBody","POST signup"
"../../components/schemas/auth/UpdatePasswordRequest.yaml","UpdatePasswordRequest.yaml","auth","1","requestBody","POST update-password"
"../../components/schemas/auth/VerifyEmailRequest.yaml","VerifyEmailRequest.yaml","auth","1","requestBody","POST verify-email"
"../../components/schemas/dataTransfer/DataExportRequest.yaml","DataExportRequest.yaml","dataTransfer","1","requestBody","POST data-transfer_export"
"../../components/schemas/goals/GoalDefinitionRequest.yaml","GoalDefinitionRequest.yaml","goals","1","requestBody","POST goals"
"../../components/schemas/goals/GoalUpdateRequest.yaml","GoalUpdateRequest.yaml","goals","1","requestBody","PUT goals_goalId"
"../../components/schemas/goals/GoalPredictionRequest.yaml","GoalPredictionRequest.yaml","goals","1","requestBody","POST goals_goalId_predict"
"../../components/schemas/mobile/MobileSyncRequest.yaml","MobileSyncRequest.yaml","mobile","1","requestBody","POST mobile_sync"
"../../components/schemas/notifications/NotificationPreferencesUpdateRequest.yaml","NotificationPreferencesUpdateRequest.yaml","notifications","1","requestBody","POST notifications_preferences"
"../../components/schemas/notifications/TestNotificationRequest.yaml","TestNotificationRequest.yaml","notifications","1","requestBody","POST notifications_test"
"../../components/schemas/nutritionMacros/CustomMacroRequest.yaml","CustomMacroRequest.yaml","nutritionMacros","1","requestBody","POST macros"
"../../components/schemas/nutritionMacros/MacroCalculationRequest.yaml","MacroCalculationRequest.yaml","nutritionMacros","1","requestBody","POST macros_calculate"
"../../components/schemas/nutritionMacros/MacroUpdateRequest.yaml","MacroUpdateRequest.yaml","nutritionMacros","1","requestBody","PUT macros_planId"
"../../components/schemas/nutritionMacros/NutritionCalculateRequest.yaml","NutritionCalculateRequest.yaml","nutritionMacros","1","requestBody","POST nutrition_calculate"
"../../components/schemas/nutritionMacros/MealLogRequest.yaml","MealLogRequest.yaml","nutritionMacros","1","requestBody","POST nutrition_meal-log"
"../../components/schemas/nutritionMacros/DietaryPreferencesRequest.yaml","DietaryPreferencesRequest.yaml","nutritionMacros","1","requestBody","POST nutrition_preferences"
"../../components/schemas/profiles/ProfilePreferencesRequest.yaml","ProfilePreferencesRequest.yaml","profiles","1","requestBody","PUT preferences"
"../../components/schemas/profiles/ProfileCreationRequest.yaml","ProfileCreationRequest.yaml","profiles","1","requestBody","POST profile"
"../../components/schemas/profiles/ProfileUpdateRequest.yaml","ProfileUpdateRequest.yaml","profiles","1","requestBody","PUT profile"
"../../components/schemas/progress/CheckInCreateRequest.yaml","CheckInCreateRequest.yaml","progress","1","requestBody","POST progress_check-in"
"../../components/schemas/progress/MetricsCalculationRequest.yaml","MetricsCalculationRequest.yaml","progress","1","requestBody","POST progress_metrics"
"../../components/schemas/workoutLogs/WorkoutLogCreateRequest.yaml","WorkoutLogCreateRequest.yaml","workoutLogs","1","requestBody","POST workouts_log"
"../../components/schemas/workoutLogs/WorkoutLogUpdateRequest.yaml","WorkoutLogUpdateRequest.yaml","workoutLogs","1","requestBody","PATCH workouts_log_logId"
"../../components/schemas/workouts/WorkoutGenerationRequest.yaml","WorkoutGenerationRequest.yaml","workouts","1","requestBody","POST workouts"
"../../components/schemas/workouts/WorkoutAdjustmentRequest.yaml","WorkoutAdjustmentRequest.yaml","workouts","1","requestBody","POST workouts_planId"
